Expense_Group,Expense_Category,MH CATEGORY GROUP,MH CATEGORY,EIQ Category
Bills,Household insurance,Bills and utilities,Household insurance,Insurance
Bills,Online,Bills and utilities,Online services,Bills and utilities:Online services
Household,Home maintenance,Bills and utilities,Other household expenses,Bills and utilities:Other household expenses
Bills,Bank Charge,Bills and utilities,Service fees & bank charges,Bank:Bank Charges
Bills,Telephone & mobile,Bills and utilities,Telephone & mobile,Household:Phone - Broadband
Bills,Telephone & mobile,Bills and utilities,Telephone & mobile,Household:Phone &  Broadband
Bills,Telephone & mobile,Bills and utilities,Telephone & mobile,Mobile
Bills,Telephone & mobile,Bills and utilities,Telephone & mobile,Mobile:Mobile Phone Bills
Bills,TV,Bills and utilities,TV & internet,Household:TV
Bills,Utilities,Bills and utilities,Utilities,Household:Gas - Electricity
Bills,Utilities,Bills and utilities,Utilities,Household:Gas & Electricity
Business,Office costs,Business,Office costs,Business:Office costs
Business,Other business costs,Business,Other business costs,Business:Other business costs
Business,Postage and shipping,Business,Postage and shipping,Business:Postage and shipping
Business,Printing,Business,Printing,Business:Printing
Cash,Cash withdrawals,Cash,Cash withdrawals,Cash:Cash withdrawals
Cash,Savings,Cash,Savings,Cash:Savings
Entertainment,Food,Entertainment,Eating out,Food
Entertainment,Lunch,Entertainment,Lunch,Food:Lunch
Entertainment,Take Away,Entertainment,Take Away,Food:Take Away
Entertainment,Restaurant,Entertainment,Restaurant,Restaurant
Entertainment,Entertainment,Entertainment,Entertainment,Entertainment
Entertainment,Hobbies,Entertainment,Hobbies,Sports & Recreation
Entertainment,Betting,Entertainment,Betting,Sports & Recreation:Betting
Entertainment,Football,Entertainment,Football,Sports & Recreation:Football
Entertainment,Golf,Entertainment,Golf,Sports & Recreation:Golf
Entertainment,Gym,Entertainment,Gym,Sports & Recreation:Gym
Entertainment,Betting,Entertainment,Betting,Sports:Betting
Entertainment,Football,Entertainment,Football,Sports:Football
Entertainment,Golf,Entertainment,Golf,Sports:Golf
Entertainment,Holidays,Entertainment,Holidays,Vacation
