Trans_Date,Category,Sub_Category,Trans_Description,Trans_Amount,Year,Month_Number,Day_Number
2016-01-01,Bank:Bank Charges,Bank Interest,Bank Interest,3.86,2016,1,1
2016-01-01,Household:Maintenance,Scottish Gas,Scottish Gas,-16.08,2016,1,1
2016-01-01,Household:Mortgage,Mortgage Express,Mortgage Express,-813.76,2016,1,1
2016-01-01,Household:TV,TV Licence,TV Licence,-12.12,2016,1,1
2016-01-01,Car:Car Loan,RCI,RCI,-285.55,2016,1,1
2016-01-02,Food:Take Away,Take Away,Take Away,-25.0,2016,1,2
2016-01-04,Software,Spamdrain,Spamdrain,-13.77,2016,1,4
2016-01-04,Bank:Bank Charges,Bank Charges,Bank Charges,-20.0,2016,1,4
2016-01-04,Gifts:Liam,Liam,Liam,-20.0,2016,1,4
2016-01-04,Transfer (Outward),Transfer to Sainsburys Credit Card,Transfer to Sainsburys Credit Card,-40.49,2016,1,4
2016-01-04,Gifts:Liam,Spotify,Spotify,-9.99,2016,1,4
2016-01-04,Sports & Recreation:Football,Train,Train,-12.15,2016,1,4
2016-01-04,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,40.49,2016,1,4
2016-01-04,Restaurant,Prezzo,Prezzo,-32.2,2016,1,4
2016-01-05,Food:Take Away,Take Away,Take Away,-10.0,2016,1,5
2016-01-05,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,13.77,2016,1,5
2016-01-05,Transfer (Outward),Transfer to PayPal,Transfer to PayPal,-13.77,2016,1,5
2016-01-05,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,50.0,2016,1,5
2016-01-05,Transfer (Inward),Transfer from Nationwide,Transfer from Nationwide,9.99,2016,1,5
2016-01-05,Household:Gas & Electricity,British Gas,British Gas,-42.0,2016,1,5
2016-01-05,Shopping,Shopping Asda,Shopping Asda,-7.69,2016,1,5
2016-01-05,Vacation,US Customs,US Customs,-9.72,2016,1,5
2016-01-05,Transfer (Outward),Transfer to Cash,Transfer to Cash,-50.0,2016,1,5
