DATE,AMOUNT,DESCRIPTION,CATEGORY,CATEGORY GROUP,ACCOUNT,TO ACCOUNT,PROJECT,NOTES
"2022-12-19",-1,"NYA*McLaren Vending Lt Aberystwyth GBR 05295312352213260090712","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-34.99,"AMZNMktplace amazon.co.uk","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
"2022-12-19",-1,"NYA*McLaren Vending Lt Aberystwyth GBR 05295312352213260120543","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-1,"NYA*McLaren Vending Lt Aberystwyth GBR 05295312352213260161349","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-1,"NYA*McLaren Vending Lt Aberystwyth GBR 05295312352213260051730","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-55,"CARRIGANS HAMILTON LTD HAMILTON 85481472352468707848530","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-1.8,"NYA*McLaren Vending Lt Motherwell GBR 05295312351213176908776","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-5,"SQ *BRAEHEAD ARENA Glasgow 02708962351344548801033","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-6.5,"SQ *CLAN ENTERTAINMENT Glasgow 02708962351344548791648","Ice Hockey","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-4.05,"SAINSBURYS S/MKTS HAMILTON 85481472351468287368116","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-9.5,"Zettle_*PIZZA DADDY SC Hamilton GBR 25481042351058116179342","Eating out","Entertainment","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-19",-5.6,"MARTIN MCCOLL HAMILTON GBR 05130862351910063966931","Groceries","Shopping","MR ALISTAIR MACNAIR","N/A","N/A",""
"2022-12-16",3603.77,"LLOYDS BANK PLC 80038189","Salary","Income","Mr Alistair MacNair","N/A","N/A",""
"2022-12-16",-47.9,"AMZNMktplace amazon.co.uk","June","Gifts and giving","489396XXXXXX2001","N/A","N/A",""
